"Well","Sample"
"L2","MTBL50198"
"L3","MTBL50302"
"L4","MTBL50206"
"L5","MTBL50310"
"L6","MTBL50214"
"L7","MTBL50318"
"L8","MTBL50222"
"L9","MTBL50326"
"L10","MTBL50230"
"L11","MTBL50334"
"L12","MTBL50238"
"L13","MTBL50342"
"L14","MTBL50246"
"L15","MTBL50350"
"L16","MTBL50254"
"L17","MTBL50358"
"L18","MTBL50262"
"L19","MTBL50366"
"L20","MTBL50270"
"L21","MTBL50374"
"L22","MTBL50278"
"L23","MTBL50382"
"L24","MTBL50286"
"M1","MTBL50007"
"M2","MTBL50103"
"M3","MTBL50015"
"M4","MTBL50111"
"M5","MTBL50023"
"M6","MTBL50119"
"M7","MTBL50031"
"M8","MTBL50127"
"M9","MTBL50039"
"M10","MTBL50135"
"M11","MTBL50047"
"M12","MTBL50143"
"M13","MTBL50055"
"M14","MTBL50151"
"M15","MTBL50063"
"M16","MTBL50159"
"M17","MTBL50071"
"M18","MTBL50167"
"M19","MTBL50079"
"M20","MTBL50175"
"M21","MTBL50087"
"M22","MTBL50183"
"M23","MTBL50095"
"M24","MTBL50191"
"N1","MTBL50295"
"N2","MTBL50199"
"N3","MTBL50303"
"N4","MTBL50207"
"N5","MTBL50311"
"N6","MTBL50215"
"N7","MTBL50319"
"N8","MTBL50223"
"N9","MTBL50327"
"N10","MTBL50231"
"N11","MTBL50335"
"N12","MTBL50239"
"N13","MTBL50343"
"N14","MTBL50247"
"N15","MTBL50351"
"N16","MTBL50255"
"N17","MTBL50359"
"N18","MTBL50263"
"N19","MTBL50367"
"N20","MTBL50271"
"N21","MTBL50375"
"N22","MTBL50279"
"N23","MTBL50383"
"N24","MTBL50287"
"O1","MTBL50008"
"O2","MTBL50104"
"O3","MTBL50016"
"O4","MTBL50112"
"O5","MTBL50024"
"O6","MTBL50120"
"O7","MTBL50032"
"O8","MTBL50128"
"O9","MTBL50040"
"O10","MTBL50136"
"O11","MTBL50048"
"O12","MTBL50144"
"O13","MTBL50056"
"O14","MTBL50152"
"O15","MTBL50064"
"O16","MTBL50160"
"O17","MTBL50072"
"O18","MTBL50168"
"O19","MTBL50080"
"O20","MTBL50176"
"O21","MTBL50088"
"O22","MTBL50184"
"O23","MTBL50096"
"O24","MTBL50192"
"P1","MTBL50296"
"P2","MTBL50200"
"P3","MTBL50304"
"P4","MTBL50208"
"P5","MTBL50312"
"P6","MTBL50216"
"P7","MTBL50320"
"P8","MTBL50224"
"P9","MTBL50328"
"P10","MTBL50232"
"P11","MTBL50336"
"P12","MTBL50240"
"P13","MTBL50344"
"P14","MTBL50248"
"P15","MTBL50352"
"P16","MTBL50256"
"P17","MTBL50360"
"P18","MTBL50264"
"P19","MTBL50368"
"P20","MTBL50272"
"P21","MTBL50376"
"P22","MTBL50280"
"P23","MTBL50384"
"P24","MTBL50288"
